drug_name,synonyms,convention_schedule,cas_number,notes,source_url,raw_text,fetched_at
MT-45,,Schedule I (1961),41537-67-1,"1-cyclohexyl-4-(1,2-diphenylethyl)piperazine",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NM 045 41537-67-1 MT-45 1-cyclohexyl-4-(1,2-diphenylethyl)piperazine",2026-04-24T17:19:40.499545+00:00
MYROPHINE,,Schedule I (1961),467-18-5,Myristylbenzylmorphine (derivate of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NM 013 467-18-5 MYROPHINE Myristylbenzylmorphine (derivate of morphine),2026-04-24T17:19:40.499545+00:00
N-DESETHYL ISOTONITAZENE,,Schedule I (1961),2732926-24-6,N-ethyl-2-[2-[(4-isopropoxyphenyl)methyl]-5-nitro-benzimidazol-1- yl]ethanamine,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NI 004 2732926-24-6 N-DESETHYL ISOTONITAZENE N-ethyl-2-[2-[(4-isopropoxyphenyl)methyl]-5-nitro-benzimidazol-1-
yl]ethanamine",2026-04-24T17:19:40.499545+00:00
NICOMORPHINE,,Schedule I (1961),639-48-5,"3,6-dinicotinylmorphine (derivate of morphine)",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NN 003 639-48-5 NICOMORPHINE 3,6-dinicotinylmorphine (derivate of morphine)",2026-04-24T17:19:40.499545+00:00
NORACYMETHADOL,,Schedule I (1961),1477-39-0,"()-α-3-acetoxy-6-methylamino-4,4-diphenylheptane",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NN 004 1477-39-0 NORACYMETHADOL ()-α-3-acetoxy-6-methylamino-4,4-diphenylheptane",2026-04-24T17:19:40.499545+00:00
NORLEVORPHANOL,,Schedule I (1961),1531-12-0,(-)-3-hydroxymorphinan,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NN 006 1531-12-0 NORLEVORPHANOL (-)-3-hydroxymorphinan,2026-04-24T17:19:40.499545+00:00
NORMETHADONE,,Schedule I (1961),467-85-6,"6-dimethylamino-4,4-diphenyl-3-hexanone",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NN 007 467-85-6 NORMETHADONE 6-dimethylamino-4,4-diphenyl-3-hexanone",2026-04-24T17:19:40.499545+00:00
NORMORPHINE,,Schedule I (1961),466-97-7,demethylmorphine (derivate of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NN 008 466-97-7 NORMORPHINE demethylmorphine (derivate of morphine),2026-04-24T17:19:40.499545+00:00
NORPIPANONE,,Schedule I (1961),561-48-8,"4,4-diphenyl-6-piperidino-3-hexanone",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NN 009 561-48-8 NORPIPANONE 4,4-diphenyl-6-piperidino-3-hexanone",2026-04-24T17:19:40.499545+00:00
N/A N-PYRROLIDINO METONITAZENE,,Schedule I (1961),,2-(4-methoxybenzyl)-5-nitro-1-(2-(pyrrolidin-1-yl)ethyl)-1H- benzo[d]imidazole,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NM 028 N/A N-PYRROLIDINO METONITAZENE 2-(4-methoxybenzyl)-5-nitro-1-(2-(pyrrolidin-1-yl)ethyl)-1H-
benzo[d]imidazole",2026-04-24T17:19:40.499545+00:00
