name,dea_code,schedule,narcotic,other_names,source,source_url,raw_text,fetched_at
"17α-Methyl-3β,17β-dihydroxy-5α-androstane",4000,III,N,"Abbreviations: ""NARC"" = Narcotic, ""CSA SCH"" = CSA Schedule, ""CSCN"" = Controlled Substance Code Number Controlled Substances - Alphabetical Order 08-Apr-26 Page 1 of 23 CSA SUBSTANCE CSCN SCH NARC OTHER NAMES",DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"17α-Methyl-3β,17β-dihydroxy-5α-androstane 4000 III N Abbreviations: ""NARC"" = Narcotic, ""CSA SCH"" = CSA Schedule, ""CSCN"" = Controlled Substance Code Number Controlled Substances - Alphabetical Order 08-Apr-26 Page 1 of 23 CSA SUBSTANCE CSCN SCH NARC OTHER NAMES",2026-04-24T17:24:50+00:00
"17α-Methyl-3β,17β-dihydroxyandrost-4-ene",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"17α-Methyl-3β,17β-dihydroxyandrost-4-ene 4000 III N",2026-04-24T17:24:50+00:00
17α-Methyl-4-hydroxynandrolone (17α-methyl-4-hydroxy-17β-hydroxyestr-4-en-3-one),4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,17α-Methyl-4-hydroxynandrolone (17α-methyl-4- 4000 III N hydroxy-17β-hydroxyestr-4-en-3-one),2026-04-24T17:24:50+00:00
17α-Methyl-5α-androstan-17β-ol,4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,17α-Methyl-5α-androstan-17β-ol 4000 III N,2026-04-24T17:24:50+00:00
"17α-Methyl-androst-2-ene-3,17β-diol",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"17α-Methyl-androst-2-ene-3,17β-diol 4000 III N",2026-04-24T17:24:50+00:00
"17α-Methyl-androsta-1,4-diene-3,17β-diol",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"17α-Methyl-androsta-1,4-diene-3,17β-diol 4000 III N",2026-04-24T17:24:50+00:00
17α-Methyl-androstan-3-hydroxyimine-17β-ol,4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,17α-Methyl-androstan-3-hydroxyimine-17β-ol 4000 III N,2026-04-24T17:24:50+00:00
17α-Methyl-Δ1-dihydrotestosterone (17β-hydroxy-17α-methyl-5α-androst-1-en-3-one),4000,III,N,17α-Methyl-1-testosterone,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,17α-Methyl-Δ1-dihydrotestosterone (17β-hydroxy-17α- 4000 III N 17α-Methyl-1-testosterone methyl-5α-androst-1-en-3-one),2026-04-24T17:24:50+00:00
"17β-Hydroxy-androstano[2,3-d]isoxazole",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"17β-Hydroxy-androstano[2,3-d]isoxazole 4000 III N",2026-04-24T17:24:50+00:00
"17β-Hydroxy-androstano[3,2-c]isoxazole",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"17β-Hydroxy-androstano[3,2-c]isoxazole 4000 III N",2026-04-24T17:24:50+00:00
